scenario,policy,metric,mean,ci_low,ci_high,n
sc_high_workload,pto,p95_total_wait,15.097842481549812,11.642975545956572,21.057563176255282,12
sc_high_workload,pto,mean_turnaround,21.066615626674615,20.250101765890737,22.294847374425576,12
sc_high_workload,pto,mean_gate_queue,3.450354770531401,2.8453820702495976,4.3600139014694035,12
sc_high_workload,pto,mean_yard_queue,0.15542471819645734,0.12109412741545893,0.18707547051127216,12
sc_high_workload,pto,p95_yard_queue,0.7149999999999991,0.5602673611111106,0.8590381944444433,12
sc_high_workload,pto,throughput_rate,0.8141456693257033,0.8085485580830455,0.8211756145591218,12
sc_high_workload,pto,completion_rate,1.0,1.0,1.0,12
sc_high_workload,pto,acceptance_rate,0.8266876339698124,0.8207955271159059,0.8341189721999998,12
sc_high_workload,pto,gate_utilization,0.9435984047906604,0.9390951936141304,0.9492639140499197,12
sc_high_workload,pto,yard_utilization,0.7592052472066699,0.7423401458750402,0.7732325660193059,12
sc_high_workload,pto,yard_resource_hours_per_truck,0.23089915754488585,0.2260454990335495,0.23654641488751163,12
sc_high_workload,pto,mean_composite_cost,0.3099528398221586,0.29844085006340615,0.3253822164052743,12
sc_high_workload,pto,mean_quota,21.166666666666668,21.0,21.416666666666668,12
sc_high_workload,pto,mean_yard_capacity,9.25,9.0,9.5,12
sc_high_workload,pto,unstable,0.0,0.0,0.0,12
sc_high_workload,pto,queue_tail_slope,6.376290018512184e-05,-0.003385265363609465,0.0043767021545022995,12
sc_high_workload,pto,terminal_system,0.0,0.0,0.0,12
sc_high_workload,pto,uncompleted_at_drain_limit,0.0,0.0,0.0,12
sc_high_workload,pto,drain_truncated,0.0,0.0,0.0,12
sc_high_workload,pto,drain_minutes,25.666666666666668,21.83125,29.835416666666664,12
sc_high_workload,pto,first_queue_threshold_period,83.25,-1.0,167.5,12
sc_high_workload,pto,mean_net_queue_drift,-0.014190821256038648,-0.027711730072463765,-0.002941953502415461,12
sc_high_workload,pto,tail_net_queue_drift,-0.016666666666666666,-0.027651515151515153,-0.004924242424242425,12
sc_high_workload,pto,service_floor_binding_rate,0.5709541062801933,0.5363054800724637,0.5972977053140096,12
sc_high_workload,pto,projection_binding_rate,0.25,0.0,0.5,12
sc_high_workload,online_joint,mean_gate_wait,19.20270402719564,16.48805789737689,21.84099221798686,12
sc_high_workload,online_joint,mean_yard_wait,1.67589559459762,1.187498230972697,2.133218435781178,12
sc_high_workload,online_joint,mean_total_wait,20.87859962179326,17.919467502190038,23.77517029259094,12
sc_high_workload,online_joint,p95_total_wait,52.48442734230875,47.86400649475465,57.412456876650076,12
sc_high_workload,online_joint,mean_turnaround,36.87716199844419,34.154643195450014,39.63402739282684,12
sc_high_workload,online_joint,mean_gate_queue,14.012895028180354,11.974618307165862,15.907443261876008,12
sc_high_workload,online_joint,mean_yard_queue,1.1737344001610304,0.8105368105877617,1.5326720385466983,12
sc_high_workload,online_joint,p95_yard_queue,4.019305555555554,3.001458333333333,5.140378472222219,12
sc_high_workload,online_joint,throughput_rate,0.8710885060691522,0.8633869657734359,0.8784974027407689,12
sc_high_workload,online_joint,completion_rate,1.0,1.0,1.0,12
sc_high_workload,online_joint,acceptance_rate,0.8858026826413309,0.8766724225915954,0.8934689238510108,12
sc_high_workload,online_joint,gate_utilization,0.9842925976247986,0.9790092372433575,0.9886634775060386,12
sc_high_workload,online_joint,yard_utilization,0.9039274708329007,0.8795434069646615,0.925575105295267,12
