scenario,policy,replication,arrivals,completed,completion_rate,throughput_rate,acceptance_rate,mean_gate_wait,mean_yard_wait,mean_total_wait,p95_total_wait,mean_turnaround,mean_gate_queue,mean_yard_queue,p95_yard_queue,gate_utilization,yard_utilization,yard_resource_hours_per_truck,mean_composite_cost,mean_quota,mean_yard_capacity,unstable,queue_tail_slope,terminal_system,uncompleted_at_drain_limit,drain_truncated,drain_minutes,first_queue_threshold_period,mean_net_queue_drift,tail_net_queue_drift,service_floor_binding_rate,projection_binding_rate,total_generated_arrivals,requested,accepted
sc_high_workload,online_joint,2,23470,23470,1.0,0.8735298496352538,0.8894967991662944,19.862550349567368,1.8303066133400332,21.692856962907403,53.54470534894205,37.72540915719799,14.412469806763287,1.2792572463768115,4.22833333333333,0.9835220410628019,0.9270312851676795,0.18930549637835534,0.4690400277923024,23.806159420289855,8.116847826086957,0,-0.06603693915539216,0,0,0,23,746,-0.0018115942028985507,-0.11363636363636363,0.38315217391304346,0.0,30519,26868,23899
sc_high_workload,fixed,3,24395,24395,1.0,0.9068436117616445,0.9227166276346604,448.3598339028546,5.258249641319942,453.6180835441745,608.3537327629631,469.653336669815,327.10410628019326,3.87506038647343,12.689999999999992,1.0,0.9653287723299125,0.1797499487599918,5.253320768609213,25.0,8.0,1,0.054490532298750075,0,0,0,612,336,0.2563405797101449,0.013636363636363636,0.0806159420289855,0.0,31916,26901,24822
sc_high_workload,gate_only,3,23681,23681,1.0,0.8803018475149623,0.8949109698524218,16.569183767768024,4.294051563044949,20.863235330812977,44.99733595470025,36.9029718284271,12.221376811594201,3.058786231884058,10.166666666666666,0.9897192028985508,0.9508057772709996,0.1851695452050167,0.45270549939468496,23.70923913043478,8.0,1,0.06049739945791514,0,0,0,16,339,-0.028985507246376812,-0.1318181818181818,0.3342391304347826,0.0,30995,26901,24074
sc_high_workload,pto,3,22664,22664,1.0,0.8424965614661165,0.8555072302144902,10.146616621565197,0.15806044133359393,10.304677062898794,41.967907976910524,26.34381402018789,7.405132850241545,0.06491545893719808,0.3,0.9643191425120773,0.7280561122244489,0.24219025767737382,0.37645717188125405,22.0,10.0,0,0.019111495541793685,0,0,0,15,336,-0.07246376811594203,-0.01818181818181818,0.4519927536231884,1.0,29210,26901,23014
sc_high_workload,online_joint,3,23883,23883,1.0,0.8878108620497379,0.902717371101446,23.038649109885757,2.161386512843218,25.200035622728976,48.180126133116566,41.22930330266868,17.003955314009662,1.5534118357487923,4.8,0.9949048913043478,0.9429816685372241,0.1865343549805301,0.5180070196195314,24.172101449275363,8.126811594202898,1,0.0906314367877623,0,0,0,21,336,-0.028985507246376812,-0.11363636363636363,0.31068840579710144,0.0,31168,26901,24284
sc_high_workload,fixed,4,24396,24396,1.0,0.9043929564411493,0.9197775718257646,152.84996229667644,5.865961633054599,158.71592392973105,320.53967664346237,174.65468438226424,112.01865942028986,4.373158212560387,15.118333333333323,1.0,0.9674043653509773,0.17966060009837678,2.035214051052842,25.0,8.0,1,0.4538682053911703,0,0,0,348,336,0.10054347826086957,0.2863636363636364,0.11956521739130435,0.0,31777,26975,24811
sc_high_workload,gate_only,4,23798,23798,1.0,0.882224281742354,0.8967562557924004,19.868236055399073,4.6197983185993365,24.488034373998417,58.19656289612028,40.4292059010175,14.664341787439614,3.3338164251207725,11.489999999999993,0.9888058574879227,0.9503460339189292,0.18417514076813177,0.5006075627076482,23.9375,8.0,0,-0.0460455043210887,0,0,0,26,336,-0.04619565217391304,-0.06818181818181818,0.3677536231884058,0.0018115942028985507,30975,26975,24190
sc_high_workload,pto,4,21888,21888,1.0,0.8114179796107507,0.8229842446709916,4.2173112083255075,0.4035995126692123,4.62091072099472,12.501061635132084,20.56681715374326,3.0895833333333336,0.19532004830917873,0.9283333333333303,0.9382548309178744,0.7763559608240459,0.22546600877192982,0.30243544238430137,21.0,9.0,0,-0.0012732419339994085,0,0,0,18,336,-0.03804347826086957,-0.03636363636363636,0.5942028985507246,0.0,28314,26975,22200
sc_high_workload,online_joint,4,23878,23878,1.0,0.8851899907321594,0.8999073215940686,24.631565394628016,3.510628257502517,28.142193652130533,64.10509732371084,44.08364603507719,18.135748792270533,2.523248792270531,7.461666666666663,0.9905193236714975,0.9607594936708861,0.18196666387469637,0.5482406825359613,24.168478260869566,7.931159420289855,0,-0.023427550155995205,0,0,0,41,336,-0.022644927536231884,-0.05,0.35054347826086957,0.0018115942028985507,30972,26975,24275
sc_high_workload,fixed,5,24223,24223,1.0,0.8987459186702286,0.914959928762244,212.5332899584623,4.003550344713702,216.53684030317598,289.73299322284544,232.52193711199405,155.26893115942028,2.9316123188405796,9.141666666666652,1.0,0.9621118721461187,0.18081988193039672,2.6637447243407335,25.0,8.0,0,-0.07783017680680987,0,0,0,246,339,0.11503623188405797,0.004545454545454545,0.12409420289855072,0.0,31520,26952,24660
sc_high_workload,gate_only,5,23621,23621,1.0,0.8764099139210448,0.8919189670525378,19.637382292037305,3.3926799551205358,23.03006224715784,52.26989500187119,39.00957200542379,14.347493961352658,2.405223429951691,8.12833333333333,0.9870621980676328,0.942130898021309,0.18542822065111553,0.48326458330213773,23.932065217391305,8.0,0,-0.04891949307743035,0,0,0,30,361,0.002717391304347826,-0.01818181818181818,0.3677536231884058,0.0,30750,26952,24039
sc_high_workload,pto,5,21803,21803,1.0,0.8089566636984268,0.8219056099732859,3.9703291497067217,0.40612093111935144,4.376450080826073,11.889462514504517,20.350077563282614,2.879710144927536,0.197493961352657,1.0,0.9376358695652174,0.7722695323060287,0.22620740265101133,0.2977731543716329,21.0,9.0,0,-0.005926042799531942,0,0,0,20,-1,-0.0018115942028985507,-0.00909090909090909,0.5842391304347826,0.0,28164,26952,22152
sc_high_workload,online_joint,5,22909,22909,1.0,0.8499925794004155,0.8645740575838528,11.92483941895363,1.5313586707378188,13.456198089691448,41.20583033860602,29.438737702943875,8.560778985507245,1.022765700483092,3.8333333333333335,0.9678442028985508,0.9004421959902567,0.19413767514950456,0.3764067709235926,22.631340579710145,8.122282608695652,0,-0.03148541761756917,0,0,0,23,362,-0.0009057971014492754,-0.004545454545454545,0.5688405797101449,0.0,29842,26952,23302
