scenario,policy,service_floor_binding_rate,projection_binding_rate,mean_net_queue_drift,tail_net_queue_drift
sc_high_workload,fixed,0.11420289855072463,0.0,0.1869927536231884,0.11027272727272727
sc_high_workload,online_fast_only,0.4967210144927536,0.0010507246376811595,-0.0006702898550724638,-0.03318181818181818
sc_high_workload,online_joint,0.4232065217391305,0.00789855072463768,0.0013043478260869564,-0.04372727272727273
sc_high_workload,pto,0.5797644927536232,0.22,-0.007916666666666666,-0.006181818181818181
sc_high_workload,pto_adaptive_fast,0.5667210144927536,0.46391304347826084,-0.010579710144927536,-0.009818181818181818
sc_high_workload,pto_adaptive_slow,0.5654347826086956,0.31652173913043474,-0.007717391304347826,-0.008090909090909091
sc_peak_workload,fixed,0.12340579710144928,0.0,0.2678623188405797,0.25727272727272726
sc_peak_workload,online_fast_only,0.5194384057971014,0.0010507246376811595,0.0006702898550724637,-0.03481818181818182
sc_peak_workload,online_joint,0.44163043478260866,0.01144927536231884,0.0025362318840579713,-0.050727272727272725
sc_peak_workload,pto,0.560090579710145,0.5,-0.021612318840579712,-0.010636363636363637
sc_peak_workload,pto_adaptive_fast,0.5660326086956522,0.5347826086956522,-0.019945652173913045,-0.011363636363636362
sc_peak_workload,pto_adaptive_slow,0.568822463768116,0.40695652173913044,-0.020887681159420288,-0.007181818181818182
