source_file,week_index,metric,value
POV-Weekly-Metrics-06-01-2025.pdf,1,reservation_moves,9028.0
POV-Weekly-Metrics-06-01-2025.pdf,2,reservation_moves,9837.0
POV-Weekly-Metrics-06-01-2025.pdf,3,reservation_moves,9035.0
POV-Weekly-Metrics-06-01-2025.pdf,4,reservation_moves,8720.0
POV-Weekly-Metrics-06-01-2025.pdf,5,reservation_moves,9196.0
POV-Weekly-Metrics-06-01-2025.pdf,6,reservation_moves,10465.0
POV-Weekly-Metrics-06-01-2025.pdf,7,reservation_moves,7352.0
POV-Weekly-Metrics-06-01-2025.pdf,0,reservations_missed,312.0
POV-Weekly-Metrics-06-01-2025.pdf,1,reservations_missed,371.0
POV-Weekly-Metrics-06-01-2025.pdf,2,reservations_missed,397.0
POV-Weekly-Metrics-06-01-2025.pdf,3,reservations_missed,354.0
POV-Weekly-Metrics-06-01-2025.pdf,4,reservations_missed,324.0
POV-Weekly-Metrics-06-01-2025.pdf,5,reservations_missed,605.0
POV-Weekly-Metrics-06-01-2025.pdf,6,reservations_missed,560.0
POV-Weekly-Metrics-06-01-2025.pdf,7,reservations_missed,338.0
POV-Weekly-Metrics-06-01-2025.pdf,0,reservation_share_pct,69.6
POV-Weekly-Metrics-06-01-2025.pdf,1,reservation_share_pct,70.8
POV-Weekly-Metrics-06-01-2025.pdf,2,reservation_share_pct,71.8
POV-Weekly-Metrics-06-01-2025.pdf,3,reservation_share_pct,71.4
POV-Weekly-Metrics-06-01-2025.pdf,4,reservation_share_pct,72.6
POV-Weekly-Metrics-06-01-2025.pdf,5,reservation_share_pct,77.3
POV-Weekly-Metrics-06-01-2025.pdf,6,reservation_share_pct,75.0
POV-Weekly-Metrics-06-01-2025.pdf,7,reservation_share_pct,72.5
POV-Weekly-Metrics-06-01-2025.pdf,0,turn_time,28.2
POV-Weekly-Metrics-06-01-2025.pdf,1,turn_time,32.2
POV-Weekly-Metrics-06-01-2025.pdf,2,turn_time,35.4
POV-Weekly-Metrics-06-01-2025.pdf,3,turn_time,31.3
POV-Weekly-Metrics-06-01-2025.pdf,4,turn_time,34.2
POV-Weekly-Metrics-06-01-2025.pdf,5,turn_time,35.2
POV-Weekly-Metrics-06-01-2025.pdf,6,turn_time,41.5
POV-Weekly-Metrics-06-01-2025.pdf,7,turn_time,31.0
POV-Weekly-Metrics-06-01-2025.pdf,0,expanded_turn_time,32.0
POV-Weekly-Metrics-06-01-2025.pdf,1,expanded_turn_time,37.7
POV-Weekly-Metrics-06-01-2025.pdf,2,expanded_turn_time,41.9
POV-Weekly-Metrics-06-01-2025.pdf,3,expanded_turn_time,36.6
POV-Weekly-Metrics-06-01-2025.pdf,4,expanded_turn_time,39.1
POV-Weekly-Metrics-06-01-2025.pdf,5,expanded_turn_time,42.9
POV-Weekly-Metrics-06-01-2025.pdf,6,expanded_turn_time,47.4
POV-Weekly-Metrics-06-01-2025.pdf,7,expanded_turn_time,36.1
POV-Weekly-Metrics-06-01-2025.pdf,0,single_move_turn_time,24.9
POV-Weekly-Metrics-06-01-2025.pdf,1,single_move_turn_time,28.1
POV-Weekly-Metrics-06-01-2025.pdf,2,single_move_turn_time,30.6
POV-Weekly-Metrics-06-01-2025.pdf,3,single_move_turn_time,27.6
POV-Weekly-Metrics-06-01-2025.pdf,4,single_move_turn_time,31.6
POV-Weekly-Metrics-06-01-2025.pdf,5,single_move_turn_time,30.6
POV-Weekly-Metrics-06-01-2025.pdf,6,single_move_turn_time,37.0
POV-Weekly-Metrics-06-01-2025.pdf,7,single_move_turn_time,28.1
POV-Weekly-Metrics-06-01-2025.pdf,0,dual_move_turn_time,40.3
POV-Weekly-Metrics-06-01-2025.pdf,1,dual_move_turn_time,45.5
POV-Weekly-Metrics-06-01-2025.pdf,2,dual_move_turn_time,48.2
POV-Weekly-Metrics-06-01-2025.pdf,3,dual_move_turn_time,43.9
POV-Weekly-Metrics-06-01-2025.pdf,4,dual_move_turn_time,46.2
POV-Weekly-Metrics-06-01-2025.pdf,5,dual_move_turn_time,46.3
POV-Weekly-Metrics-06-01-2025.pdf,6,dual_move_turn_time,55.0
POV-Weekly-Metrics-06-01-2025.pdf,7,dual_move_turn_time,42.5
POV-Weekly-Metrics-07-09-2023.pdf,0,gate_moves,11142.0
POV-Weekly-Metrics-07-09-2023.pdf,1,gate_moves,11844.0
POV-Weekly-Metrics-07-09-2023.pdf,2,gate_moves,10429.0
POV-Weekly-Metrics-07-09-2023.pdf,3,gate_moves,10612.0
POV-Weekly-Metrics-07-09-2023.pdf,4,gate_moves,10987.0
