scenario,policy,replication,arrivals,completed,completion_rate,throughput_rate,acceptance_rate,mean_gate_wait,mean_yard_wait,mean_total_wait,p95_total_wait,mean_turnaround,mean_gate_queue,mean_yard_queue,p95_yard_queue,gate_utilization,yard_utilization,yard_resource_hours_per_truck,mean_composite_cost,mean_quota,mean_yard_capacity,unstable,queue_tail_slope,terminal_system,uncompleted_at_drain_limit,drain_truncated,drain_minutes,first_queue_threshold_period,mean_net_queue_drift,tail_net_queue_drift,service_floor_binding_rate,projection_binding_rate,total_generated_arrivals,requested,accepted
sc_low_workload,fixed,0,23287,23287,1.0,0.9225862683728854,0.940057842399271,18.03036826103869,3.717441518334987,21.747809779373675,55.408342612954954,37.72857157780198,13.007125603864734,2.5890398550724636,9.194999999999997,0.9751585144927536,0.930136621379914,0.1880663030875596,0.4378201569500088,25.0,8.0,0,0.01698040342681751,0,0,0,26,640,0.008152173913043478,-0.05454545454545454,0.03170289855072464,0.0,30382,25241,23728
sc_low_workload,gate_only,0,22955,22955,1.0,0.9094330652509806,0.9263499861336714,10.259196891279338,3.411900349806533,13.67109724108587,34.70259257820944,29.65532725633309,7.426600241545894,2.3304649758454103,9.02833333333333,0.9661458333333334,0.9176618335426419,0.19078632106294924,0.34354748820996706,24.27264492753623,8.0,0,0.004646038892614208,0,0,0,18,931,-0.0009057971014492754,-0.05454545454545454,0.13043478260869565,0.0,29911,25241,23382
sc_low_workload,pto,0,20574,20574,1.0,0.8151024127411751,0.8287706509250822,2.5109202741468875,0.37239974181504315,2.8833200159619303,8.509126810657289,18.87379342900752,1.7810688405797102,0.1320048309178744,0.6666666666666666,0.8999622584541063,0.7303085606137416,0.2396957324778847,0.2768578367885495,20.0,9.0,0,0.0037156477688306774,0,0,0,18,-1,-0.002717391304347826,0.0,0.5733695652173914,0.0,26757,25241,20919
sc_low_workload,online_joint,0,22579,22579,1.0,0.8945366665346064,0.9109781704369875,7.5728831470432745,1.698776128761136,9.27165927580441,24.02718996844487,25.25102062927445,5.46316425120773,1.112349033816425,4.094999999999996,0.9561896135265701,0.8965282505105514,0.19518136321360557,0.29943199218979366,23.432065217391305,8.04981884057971,0,0.011881462614742188,0,0,0,18,-1,-0.0018115942028985507,-0.031818181818181815,0.20108695652173914,0.0,29259,25241,22994
sc_low_workload,fixed,1,23355,23355,1.0,0.923816304734781,0.9401526838337091,24.710252124935217,3.4892296531324436,28.19948177806766,69.72372134425349,44.246152726472715,17.758001207729468,2.4422403381642512,8.913333333333322,0.9828502415458937,0.9343592081766025,0.18781845429244273,0.5203709702029006,25.0,8.0,0,-0.008593246667380502,0,0,0,24,448,-0.010869565217391304,-0.05909090909090909,0.028985507246376812,0.0,30474,25281,23768
sc_low_workload,gate_only,1,23023,23023,1.0,0.9106839128199042,0.9264665163561568,11.847917416073775,3.002855175860296,14.850772591934073,34.78467930747083,30.901765077709168,8.555555555555555,2.0595712560386477,7.6616666666666635,0.9738602053140096,0.9212280101827577,0.1905268644399079,0.35771918578965933,24.3768115942029,8.0,0,0.0037942369207477383,0,0,0,24,458,-0.01177536231884058,-0.05909090909090909,0.12771739130434784,0.0,30043,25281,23422
sc_low_workload,pto,1,20631,20631,1.0,0.8160674023970571,0.8287251295439263,2.6796593959862274,0.35582103454212377,3.035480430528351,8.918992215911203,19.063884288799883,1.8917572463768115,0.12415458937198068,0.594999999999997,0.905366847826087,0.7318754007627147,0.2393727885221269,0.2788808628944814,20.0,9.0,0,-0.0031084977337999253,0,0,0,24,-1,-0.0036231884057971015,0.00909090909090909,0.5634057971014492,0.0,26895,25281,20951
sc_low_workload,online_joint,1,23165,23165,1.0,0.9163007792413275,0.9321624935722479,13.728300750377782,0.5400074637216682,14.268308214099447,33.37108670531306,30.313894227481708,9.927143719806764,0.3522041062801933,1.4666666666666666,0.9774532004830918,0.835426731078905,0.2099935247140082,0.3700356369483932,24.83423913043478,8.865942028985508,0,0.013107783969991835,0,0,0,24,-1,-0.006340579710144928,-0.05909090909090909,0.1213768115942029,0.0036231884057971015,30149,25281,23566
sc_low_workload,fixed,2,23202,23202,1.0,0.9239039541273444,0.9404292597459483,18.484145476954417,3.0391402945829165,21.52328577153733,57.160054628720566,37.513631431394245,13.272524154589371,2.1031702898550724,7.579999999999988,0.9747810990338164,0.9263586233124168,0.18888457891561072,0.4346554639742603,25.0,8.0,0,-0.025929761884637068,0,0,0,22,460,-0.007246376811594203,-0.07727272727272727,0.03260869565217391,0.0,30308,25113,23617
sc_low_workload,gate_only,2,22936,22936,1.0,0.9133118305260224,0.9293991159956995,11.480751362671032,2.689150731577265,14.169902094248297,33.80695589101606,30.174436450718474,8.263405797101449,1.8285024154589373,6.961666666666663,0.9676328502415459,0.9168549153831527,0.1910751656784095,0.34859459534303666,24.45018115942029,8.0,0,-0.014314232638165012,0,0,0,22,-1,-0.007246376811594203,-0.07727272727272727,0.12590579710144928,0.0,29933,25113,23340
