contrast,metric,mean_difference,ci_low,ci_high,blocks
feedback_fast_minus_feedback_tracker,weighted_cost,-0.011108928261684395,-0.012884177083043704,-0.009333679440325086,10
feedback_fast_minus_feedback_tracker,terminal_yard_backlog,-1.9175000000000004,-2.3730663508548964,-1.4619336491451047,10
feedback_fast_minus_feedback_tracker,late_horizon_drift,-0.0006176193256047119,-0.0009160213517401899,-0.000319217299469234,10
