seed_block,seed,policy,period,mean_yard_queue
0,41000,pto_frozen,176,943.4
0,41000,pto_frozen,177,947.975
0,41000,pto_frozen,178,952.525
0,41000,pto_frozen,179,959.9
0,41000,pto_frozen,180,965.65
0,41000,pto_frozen,181,971.275
0,41000,pto_frozen,182,977.025
0,41000,pto_frozen,183,981.575
0,41000,pto_frozen,184,986.1
0,41000,pto_frozen,185,989.125
0,41000,pto_frozen,186,995.7
0,41000,pto_frozen,187,998.85
0,41000,pto_frozen,188,1006.075
0,41000,pto_frozen,189,1009.575
0,41000,pto_frozen,190,1016.725
0,41000,pto_frozen,191,1021.625
0,41000,pto_frozen,192,1027.375
0,41000,pto_frozen,193,1036.1
0,41000,pto_frozen,194,1041.375
0,41000,pto_frozen,195,1046.725
0,41000,pto_frozen,196,1050.925
0,41000,pto_frozen,197,1056.75
0,41000,pto_frozen,198,1059.7
0,41000,pto_frozen,199,1066.3
0,41000,pto_frozen,200,1074.675
0,41000,pto_frozen,201,1081.025
0,41000,pto_frozen,202,1084.9
0,41000,pto_frozen,203,1091.125
0,41000,pto_frozen,204,1097.45
0,41000,pto_frozen,205,1104.325
0,41000,pto_frozen,206,1109.55
0,41000,pto_frozen,207,1116.875
0,41000,pto_frozen,208,1121.675
0,41000,pto_frozen,209,1126.4
0,41000,pto_frozen,210,1131.525
0,41000,pto_frozen,211,1136.975
0,41000,pto_frozen,212,1140.875
0,41000,pto_frozen,213,1145.2
0,41000,pto_frozen,214,1151.55
0,41000,pto_frozen,215,1157.95
0,41000,pto_frozen,216,1162.925
0,41000,pto_frozen,217,1167.4
0,41000,pto_frozen,218,1173.7
0,41000,pto_frozen,219,1180.525
0,41000,pto_frozen,220,1187.05
0,41000,pto_frozen,221,1190.95
0,41000,pto_frozen,222,1194.75
0,41000,pto_frozen,223,1201.825
0,41000,pto_frozen,224,1208.075
0,41000,pto_frozen,225,1211.325
0,41000,pto_frozen,226,1217.05
0,41000,pto_frozen,227,1224.625
0,41000,pto_frozen,228,1229.6
0,41000,pto_frozen,229,1233.775
0,41000,pto_frozen,230,1241.125
0,41000,pto_frozen,231,1245.75
0,41000,pto_frozen,232,1249.5
0,41000,pto_frozen,233,1255.25
0,41000,pto_frozen,234,1261.55
0,41000,pto_frozen,235,1265.85
0,41000,pto_frozen,236,1270.9
0,41000,pto_frozen,237,1277.425
0,41000,pto_frozen,238,1285.125
0,41000,pto_frozen,239,1286.775
0,41000,pto_frozen,240,1292.975
0,41000,pto_frozen,241,1299.65
0,41000,pto_frozen,242,1306.05
0,41000,pto_frozen,243,1311.475
0,41000,pto_frozen,244,1317.5
0,41000,pto_frozen,245,1322.4
0,41000,pto_frozen,246,1327.075
0,41000,pto_frozen,247,1330.875
0,41000,pto_frozen,248,1335.8
0,41000,pto_frozen,249,1342.6
0,41000,pto_frozen,250,1351.1
0,41000,pto_frozen,251,1356.0
0,41000,pto_frozen,252,1360.325
0,41000,pto_frozen,253,1366.825
0,41000,pto_frozen,254,1371.0
0,41000,pto_frozen,255,1376.475
0,41000,pto_frozen,256,1385.175
0,41000,pto_frozen,257,1389.825
0,41000,pto_frozen,258,1394.875
0,41000,pto_frozen,259,1403.775
0,41000,pto_frozen,260,1411.375
0,41000,pto_frozen,261,1417.1
0,41000,pto_frozen,262,1422.55
0,41000,pto_frozen,263,1428.25
0,41000,pto_frozen,264,1433.4
0,41000,pto_frozen,265,1439.1
0,41000,pto_frozen,266,1443.475
0,41000,pto_frozen,267,1447.975
0,41000,pto_frozen,268,1453.975
0,41000,pto_frozen,269,1458.825
0,41000,pto_frozen,270,1463.325
0,41000,pto_frozen,271,1467.575
0,41000,pto_frozen,272,1475.275
0,41000,pto_frozen,273,1481.1
0,41000,pto_frozen,274,1485.125
0,41000,pto_frozen,275,1490.8
0,41000,pto_frozen,276,1498.25
0,41000,pto_frozen,277,1504.6
0,41000,pto_frozen,278,1509.675
0,41000,pto_frozen,279,1515.1
0,41000,pto_frozen,280,1518.4
0,41000,pto_frozen,281,1522.85
0,41000,pto_frozen,282,1525.95
0,41000,pto_frozen,283,1533.85
0,41000,pto_frozen,284,1540.25
0,41000,pto_frozen,285,1545.775
0,41000,pto_frozen,286,1550.675
0,41000,pto_frozen,287,1557.5
0,41000,pto_frozen,288,1564.0
0,41000,pto_frozen,289,1570.55
0,41000,pto_frozen,290,1577.225
0,41000,pto_frozen,291,1583.2
0,41000,pto_frozen,292,1587.95
0,41000,pto_frozen,293,1594.15
0,41000,pto_frozen,294,1597.4
0,41000,pto_frozen,295,1601.475
0,41000,pto_frozen,296,1607.8
0,41000,pto_frozen,297,1612.975
0,41000,pto_frozen,298,1617.025
0,41000,pto_frozen,299,1623.625
0,41000,pto_frozen,300,1628.9
0,41000,pto_frozen,301,1634.0
0,41000,pto_frozen,302,1639.825
0,41000,pto_frozen,303,1644.6
0,41000,pto_frozen,304,1650.425
0,41000,pto_frozen,305,1655.25
0,41000,pto_frozen,306,1662.425
0,41000,pto_frozen,307,1668.625
0,41000,pto_frozen,308,1676.25
0,41000,pto_frozen,309,1681.1
0,41000,pto_frozen,310,1685.55
0,41000,pto_frozen,311,1689.8
0,41000,pto_frozen,312,1693.775
0,41000,pto_frozen,313,1699.575
0,41000,pto_frozen,314,1708.425
0,41000,pto_frozen,315,1712.05
0,41000,pto_frozen,316,1718.025
0,41000,pto_frozen,317,1721.425
0,41000,pto_frozen,318,1724.35
0,41000,pto_frozen,319,1730.225
0,41000,pto_frozen,320,1734.1
0,41000,pto_frozen,321,1739.85
0,41000,pto_frozen,322,1747.025
0,41000,pto_frozen,323,1753.325
0,41000,pto_frozen,324,1755.925
0,41000,pto_frozen,325,1762.225
0,41000,pto_frozen,326,1767.225
0,41000,pto_frozen,327,1772.375
0,41000,pto_frozen,328,1776.525
0,41000,pto_frozen,329,1784.075
0,41000,pto_frozen,330,1790.375
0,41000,pto_frozen,331,1793.025
0,41000,pto_frozen,332,1799.35
0,41000,pto_frozen,333,1806.85
0,41000,pto_frozen,334,1810.425
0,41000,pto_frozen,335,1815.8
0,41000,pto_frozen,336,1820.725
0,41000,pto_frozen,337,1828.4
0,41000,pto_frozen,338,1831.9
0,41000,pto_frozen,339,1838.125
0,41000,pto_frozen,340,1844.85
0,41000,pto_frozen,341,1849.675
0,41000,pto_frozen,342,1858.55
0,41000,pto_frozen,343,1863.125
0,41000,pto_frozen,344,1867.675
0,41000,pto_frozen,345,1874.9
0,41000,pto_frozen,346,1880.95
0,41000,pto_frozen,347,1887.1
0,41000,pto_frozen,348,1892.275
0,41000,pto_frozen,349,1898.575
0,41000,pto_frozen,350,1904.975
0,41000,pto_frozen,351,1908.375
0,41000,pto_frozen,352,1915.575
0,41000,pto_frozen,353,1921.575
0,41000,pto_frozen,354,1925.775
0,41000,pto_frozen,355,1931.95
0,41000,pto_frozen,356,1938.35
0,41000,pto_frozen,357,1941.925
0,41000,pto_frozen,358,1945.7
0,41000,pto_frozen,359,1950.95
0,41000,pto_frozen,360,1959.2
0,41000,pto_frozen,361,1964.7
0,41000,pto_frozen,362,1968.125
0,41000,pto_frozen,363,1973.975
0,41000,pto_frozen,364,1978.225
0,41000,pto_frozen,365,1982.425
0,41000,pto_frozen,366,1987.25
0,41000,pto_frozen,367,1992.0
0,41000,pto_frozen,368,1997.575
0,41000,pto_frozen,369,2002.4
0,41000,pto_frozen,370,2006.075
0,41000,pto_frozen,371,2013.4
0,41000,pto_frozen,372,2018.95
0,41000,pto_frozen,373,2023.95
0,41000,pto_frozen,374,2029.4
0,41000,pto_frozen,375,2036.025
0,41000,pto_frozen,376,2040.2
0,41000,pto_frozen,377,2046.5
0,41000,pto_frozen,378,2054.6
0,41000,pto_frozen,379,2061.1
0,41000,pto_frozen,380,2065.5
0,41000,pto_frozen,381,2069.725
0,41000,pto_frozen,382,2073.75
0,41000,pto_frozen,383,2076.575
0,41000,pto_frozen,384,2080.7
0,41000,pto_frozen,385,2087.625
0,41000,pto_frozen,386,2093.975
0,41000,pto_frozen,387,2099.725
0,41000,pto_frozen,388,2103.1
0,41000,pto_frozen,389,2108.725
0,41000,pto_frozen,390,2115.375
0,41000,pto_frozen,391,2122.075
0,41000,pto_frozen,392,2128.95
0,41000,pto_frozen,393,2134.75
0,41000,pto_frozen,394,2138.5
0,41000,pto_frozen,395,2141.975
0,41000,pto_frozen,396,2147.175
0,41000,pto_frozen,397,2152.15
0,41000,pto_frozen,398,2157.625
0,41000,pto_frozen,399,2163.225
0,41000,pto_frozen,400,2171.35
0,41000,pto_frozen,401,2177.075
0,41000,pto_frozen,402,2181.775
0,41000,pto_frozen,403,2187.1
0,41000,pto_frozen,404,2192.9
0,41000,pto_frozen,405,2199.4
0,41000,pto_frozen,406,2206.025
0,41000,pto_frozen,407,2214.2
0,41000,pto_frozen,408,2219.325
0,41000,pto_frozen,409,2225.425
0,41000,pto_frozen,410,2231.375
0,41000,pto_frozen,411,2236.675
0,41000,pto_frozen,412,2241.45
0,41000,pto_frozen,413,2247.525
0,41000,pto_frozen,414,2252.775
0,41000,pto_frozen,415,2256.15
0,41000,pto_frozen,416,2262.55
0,41000,pto_frozen,417,2268.25
0,41000,pto_frozen,418,2274.125
0,41000,pto_frozen,419,2277.275
0,41000,pto_frozen,420,2282.775
0,41000,pto_frozen,421,2287.325
0,41000,pto_frozen,422,2291.2
0,41000,pto_frozen,423,2296.075
0,41000,pto_frozen,424,2303.125
0,41000,pto_frozen,425,2306.275
0,41000,pto_frozen,426,2309.475
0,41000,pto_frozen,427,2315.3
0,41000,pto_frozen,428,2321.725
0,41000,pto_frozen,429,2329.575
0,41000,pto_frozen,430,2338.7
0,41000,pto_frozen,431,2343.875
0,41000,pto_frozen,432,2349.55
0,41000,pto_frozen,433,2357.425
0,41000,pto_frozen,434,2363.075
0,41000,pto_frozen,435,2368.225
0,41000,pto_frozen,436,2375.075
0,41000,pto_frozen,437,2383.275
0,41000,pto_frozen,438,2389.45
0,41000,pto_frozen,439,2394.95
0,41000,pto_frozen,440,2401.625
0,41000,pto_frozen,441,2406.675
0,41000,pto_frozen,442,2414.2
0,41000,pto_frozen,443,2419.8
0,41000,pto_frozen,444,2425.025
0,41000,pto_frozen,445,2430.1
0,41000,pto_frozen,446,2436.1
0,41000,pto_frozen,447,2440.125
0,41000,pto_frozen,448,2447.9
0,41000,pto_frozen,449,2452.475
0,41000,pto_frozen,450,2459.8
0,41000,pto_frozen,451,2465.45
0,41000,pto_frozen,452,2472.125
0,41000,pto_frozen,453,2478.1
0,41000,pto_frozen,454,2481.925
0,41000,pto_frozen,455,2488.6
0,41000,pto_frozen,456,2493.325
0,41000,pto_frozen,457,2501.825
0,41000,pto_frozen,458,2506.35
0,41000,pto_frozen,459,2510.5
0,41000,pto_frozen,460,2516.025
0,41000,pto_frozen,461,2523.3
0,41000,pto_frozen,462,2529.675
0,41000,pto_frozen,463,2534.975
0,41000,pto_frozen,464,2539.4
0,41000,pto_frozen,465,2546.2
0,41000,pto_frozen,466,2547.925
0,41000,pto_frozen,467,2553.575
0,41000,pto_frozen,468,2559.775
0,41000,pto_frozen,469,2564.975
0,41000,pto_frozen,470,2571.55
0,41000,pto_frozen,471,2575.25
0,41000,pto_frozen,472,2579.85
0,41000,pto_frozen,473,2585.225
0,41000,pto_frozen,474,2592.825
0,41000,pto_frozen,475,2598.875
0,41000,pto_frozen,476,2605.075
0,41000,pto_frozen,477,2611.75
0,41000,pto_frozen,478,2615.625
0,41000,pto_frozen,479,2620.5
0,41000,pto_frozen,480,2626.55
0,41000,pto_frozen,481,2634.45
0,41000,pto_frozen,482,2640.425
0,41000,pto_frozen,483,2646.525
0,41000,pto_frozen,484,2652.825
0,41000,pto_frozen,485,2658.625
0,41000,pto_frozen,486,2661.9
0,41000,pto_frozen,487,2667.3
0,41000,pto_frozen,488,2672.05
0,41000,pto_frozen,489,2676.025
0,41000,pto_frozen,490,2677.1
0,41000,pto_frozen,491,2683.75
0,41000,pto_frozen,492,2690.2
0,41000,pto_frozen,493,2695.275
0,41000,pto_frozen,494,2700.0
0,41000,pto_frozen,495,2704.35
0,41000,pto_frozen,496,2710.325
0,41000,pto_frozen,497,2714.125
0,41000,pto_frozen,498,2720.225
0,41000,pto_frozen,499,2725.775
0,41000,pto_frozen,500,2732.275
0,41000,pto_frozen,501,2738.45
0,41000,pto_frozen,502,2744.1
0,41000,pto_frozen,503,2750.1
0,41000,pto_frozen,504,2755.225
0,41000,pto_frozen,505,2760.3
0,41000,pto_frozen,506,2766.225
0,41000,pto_frozen,507,2771.025
0,41000,pto_frozen,508,2775.45
0,41000,pto_frozen,509,2780.275
0,41000,pto_frozen,510,2787.65
0,41000,pto_frozen,511,2792.2
0,41000,pto_frozen,512,2795.825
0,41000,pto_frozen,513,2800.45
0,41000,pto_frozen,514,2807.375
0,41000,pto_frozen,515,2811.45
0,41000,pto_frozen,516,2815.05
0,41000,pto_frozen,517,2822.075
0,41000,pto_frozen,518,2825.525
0,41000,pto_frozen,519,2832.025
0,41000,pto_frozen,520,2836.75
0,41000,pto_frozen,521,2843.0
0,41000,pto_frozen,522,2847.8
0,41000,pto_frozen,523,2854.45
0,41000,pto_frozen,524,2859.8
0,41000,pto_frozen,525,2865.35
0,41000,pto_frozen,526,2872.325
0,41000,pto_frozen,527,2878.15
0,41000,pto_frozen,528,2882.275
0,41000,pto_frozen,529,2887.575
0,41000,pto_frozen,530,2894.025
0,41000,pto_frozen,531,2901.1
0,41000,pto_frozen,532,2906.7
0,41000,pto_frozen,533,2913.35
0,41000,pto_frozen,534,2916.875
0,41000,pto_frozen,535,2924.0
0,41000,pto_frozen,536,2932.3
0,41000,pto_frozen,537,2936.375
0,41000,pto_frozen,538,2941.7
0,41000,pto_frozen,539,2946.6
