seed_block,seed,policy,path,weighted_cost,mean_queue,terminal_yard_backlog,late_horizon_drift
0,41000,pto_frozen,0,75.53466270443685,5035.482789855072,7899.0,5.094588952208994
0,41000,pto_frozen,1,74.42996161748033,4961.836050724638,8010.0,5.650919112062119
0,41000,pto_frozen,2,77.20498879139336,5146.837862318841,8314.0,5.923180059375258
0,41000,pto_frozen,3,68.06625237835001,4537.588768115942,7515.0,5.7389206333360825
0,41000,pto_frozen,4,71.13895618269777,4742.435688405797,7939.0,6.102889606725723
0,41000,pto_frozen,5,76.45992085661071,5097.166666666667,8172.0,5.561879012061684
0,41000,pto_frozen,6,75.41820890008907,5027.719202898551,8220.0,5.5649775498157545
0,41000,pto_frozen,7,73.17516542182815,4878.182971014493,7995.0,5.826009498739144
0,41000,pto_frozen,8,72.58214911748038,4838.648550724638,7674.0,5.239618607285622
0,41000,pto_frozen,9,71.87334476965427,4791.394927536232,7820.0,5.692527853853532
0,41000,pto_frozen,10,76.7062795522631,5113.590579710145,8149.0,5.818052541460683
0,41000,pto_frozen,11,74.62470346530645,4974.81884057971,7989.0,5.532128286147075
0,41000,pto_frozen,12,76.7842686826978,5118.789855072464,8257.0,6.086971297618479
0,41000,pto_frozen,13,73.67758390008902,4911.677536231884,7793.0,5.250038791401004
0,41000,pto_frozen,14,72.14382031313255,4809.426630434783,7945.0,6.037140352171668
0,41000,pto_frozen,15,74.95494803052387,4996.835144927536,8026.0,5.460995815954062
0,41000,pto_frozen,16,74.33478498704555,4955.490942028986,7995.0,5.590612046927287
0,41000,pto_frozen,17,72.73376596530643,4848.75634057971,7767.0,5.065291027738835
0,41000,pto_frozen,18,74.3870811826977,4958.977355072464,7990.0,5.585796650593101
0,41000,pto_frozen,19,76.7731409653064,5118.048007246377,8237.0,5.650076823250101
0,41000,pto_frozen,20,75.55994803052384,5037.16847826087,7810.0,5.439119418921089
0,41000,pto_frozen,21,70.90671433487157,4726.952898550725,7682.0,5.282743197670129
