policy,weighted_cost,mean_queue,terminal_yard_backlog,late_horizon_drift,status
feedback_fast,0.2261268432844515,6.309008152173913,2.4475000000000002,-8.051168841878655e-05,independent_reconstruction_v2
feedback_tracker,0.2372357715461359,7.883629981884058,4.365,0.0005371076371859252,independent_reconstruction_v2
pto_frozen,73.88385896802384,4925.429207427536,7931.172500000001,5.526071412256564,independent_reconstruction_v2
pto_high_fidelity,0.08377108565349003,2.983870018115942,2.975,-4.4680640975004e-06,independent_reconstruction_v2
pto_reid_1d,0.07752330942473191,2.4909057971014494,2.175,0.0002538384498196607,independent_reconstruction_v2
pto_reid_3d,0.09375977317682352,3.570763134057971,2.335,0.0002464783918332979,independent_reconstruction_v2
pto_reid_7d,5.920568058184103,391.944375,2.045,-0.00011122756066649599,independent_reconstruction_v2
