scenario,design,tested_min,tested_max,cost_min,cost_max,mean_queue_min,mean_queue_max,terminal_yard_min,terminal_yard_max,max_abs_drift,status
high,gain_multiplier,0.5,1.5,0.2239760521131803,0.2261603818233253,6.077597373188405,6.497903079710145,2.6675,3.3325,0.000135325023112,independent_reconstruction_v2
high,lateness_support,1.0,4.0,0.2239760521131803,0.2249801904736876,6.215996376811595,6.283729619565218,2.585,3.1075,0.0001562559679078,independent_reconstruction_v2
peak,gain_multiplier,0.5,1.5,0.2245541870344514,0.2267385167445964,6.077597373188405,6.497903079710145,2.6675,3.3325,0.000135325023112,independent_reconstruction_v2
peak,lateness_support,1.0,4.0,0.2245541870344514,0.2255583253949587,6.215996376811595,6.283729619565218,2.585,3.1075,0.0001562559679078,independent_reconstruction_v2
