scenario,policy,mean_composite_cost,p95_total_wait,tail_net_queue_drift,unstable_classification_share
sc_high_workload,pto,0.3063205282733098,13.909070736925663,-0.0061818181818181685,0.0
sc_high_workload,pto_adaptive_slow,0.3095485568363943,14.899496404492735,-0.00809090909090907,0.02
sc_high_workload,pto_adaptive_fast,0.31541896326020885,15.260016514884942,-0.009818181818181799,0.02
sc_high_workload,online_fast_only,0.38122144915672374,41.50977488690149,-0.033181818181818146,0.34
sc_high_workload,online_joint,0.4634450612941222,52.096166745295434,-0.0437272727272727,0.4
sc_peak_workload,pto,0.3251058668999373,18.559562116474137,-0.010636363636363628,0.0
sc_peak_workload,pto_adaptive_slow,0.3220805533203632,18.320245461343553,-0.007181818181818168,0.0
sc_peak_workload,pto_adaptive_fast,0.32670537823185586,19.259705427999545,-0.011363636363636352,0.0
sc_peak_workload,online_fast_only,0.390671210028649,42.70386217177381,-0.034818181818181804,0.24
sc_peak_workload,online_joint,0.49164676264714285,53.90430202334032,-0.0507272727272727,0.3
