scenario,policy,replication,arrivals,completed,completion_rate,throughput_rate,acceptance_rate,mean_gate_wait,mean_yard_wait,mean_total_wait,p95_total_wait,mean_turnaround,mean_gate_queue,mean_yard_queue,p95_yard_queue,gate_utilization,yard_utilization,yard_resource_hours_per_truck,mean_composite_cost,mean_quota,mean_yard_capacity,unstable,queue_tail_slope,terminal_system,uncompleted_at_drain_limit,drain_truncated,drain_minutes,first_queue_threshold_period,mean_net_queue_drift,tail_net_queue_drift,service_floor_binding_rate,projection_binding_rate,total_generated_arrivals,requested,accepted
sc_high_workload,fixed,0,24283,24283,1.0,0.896481707091963,0.9144238933805885,330.8367118285641,3.9910225260470287,334.82773435461115,524.7864078334867,350.79511894465355,240.56859903381644,2.9384057971014492,10.08499999999999,1.0,0.9567423637262733,0.1804348721327678,3.043789836496363,25.0,8.0,1,0.20049131368228712,0,0,0,514,336,0.2128623188405797,0.08181818181818182,0.10960144927536232,0.0,31726,27087,24769
sc_high_workload,gate_only,0,23586,23586,1.0,0.8707498061800863,0.8872891054749511,21.18836042825015,3.536692177581159,24.725052605831305,59.88922910257452,40.6880391232569,15.435507246376812,2.5045289855072466,9.6,0.9877717391304348,0.9377952755905512,0.18576698041210887,0.5484306290939239,23.72735507246377,8.0,0,-0.012123691511282248,0,0,0,32,364,0.0009057971014492754,-0.045454545454545456,0.3976449275362319,0.0018115942028985507,30808,27087,24034
sc_high_workload,pto,0,21811,21811,1.0,0.8052202163399417,0.8188060693321519,3.8304819853421197,0.17088197786737694,4.001363963209497,10.978676107399224,19.961292439666334,2.791123188405797,0.04378019323671497,0.23333333333333334,0.9391757246376812,0.6929511135417616,0.25150153592224106,0.4265445042639417,21.0,10.0,0,-0.0025805942647199914,0,0,0,25,-1,-0.0009057971014492754,-0.013636363636363636,0.6304347826086957,1.0,28265,27087,22179
sc_high_workload,online_joint,0,23714,23714,1.0,0.8754753202643334,0.8923838003470299,25.40302125245948,10.980819335076957,36.38384058753643,74.16523142057595,52.34453890920296,18.540851449275365,7.847735507246377,15.594999999999997,0.9912892512077295,1.0022491909385114,0.17373703297630091,0.6572559511439229,24.059782608695652,7.524456521739131,0,-0.029676082713955488,0,0,0,45,364,0.007246376811594203,-0.04090909090909091,0.3894927536231884,0.012681159420289856,31006,27087,24172
sc_high_workload,fixed,1,24318,24318,1.0,0.8981054031096503,0.9156848986224471,455.63651908902546,4.413068508923431,460.04958759794886,649.2228894895957,476.0057517561856,331.32539251207726,3.2562499999999996,12.033333333333333,1.0,0.9536737329990123,0.18040134879513117,3.9532392355027017,25.0,8.0,0,-0.05035449643024403,0,0,0,650,336,0.2572463768115942,0.05454545454545454,0.10326086956521739,0.0,31771,27077,24794
sc_high_workload,gate_only,1,23721,23721,1.0,0.8760571702921298,0.8926395095468479,20.83711340777436,3.4201577423724228,24.25727115014678,57.712891958384716,40.20554483169478,15.272252415458937,2.438586956521739,8.833333333333334,0.9915534420289855,0.9406162145733606,0.18494161291682476,0.5358736420024766,23.845108695652176,8.0,0,-0.0058922329349405155,0,0,0,44,411,0.0009057971014492754,-0.06363636363636363,0.33242753623188404,0.0,30968,27077,24170
sc_high_workload,pto,1,22562,22562,1.0,0.8332533146212653,0.8484691804852827,7.384735572045766,0.15263104164974306,7.537366613695509,21.889269460153635,23.488168847540024,5.375452898550725,0.05597826086956521,0.29499999999999693,0.9621225845410628,0.7162872579372306,0.24337381437815797,0.4130253282295652,22.0,10.0,0,-0.009240536524984588,0,0,0,42,336,-0.03804347826086957,-0.02727272727272727,0.4673913043478261,1.0,29059,27077,22974
sc_high_workload,online_joint,1,23980,23980,1.0,0.885622484027034,0.9025372087011116,33.34916044774976,1.038312262858064,34.38747271060782,72.69668941517828,50.344728757313405,24.503955314009662,0.7496678743961352,3.1,0.9984752415458937,0.8782174050299906,0.1981442869057548,0.7322247559925157,24.41576086956522,8.660326086956522,1,0.06142442837849759,0,0,0,56,452,0.006340579710144928,-0.05909090909090909,0.2807971014492754,0.0769927536231884,31083,27077,24438
sc_high_workload,fixed,2,24139,24139,1.0,0.898429358344499,0.915326782789936,255.87248594094893,4.280500434980737,260.1529863759297,381.46897834796107,276.17635105549385,186.33209541062803,3.108393719806763,9.594999999999997,1.0,0.9625861215789273,0.1813869671485977,2.5009180897193546,25.0,8.0,0,-0.14576687347034056,0,0,0,301,336,0.08876811594202899,-0.1409090909090909,0.11594202898550725,0.0,31599,26868,24593
sc_high_workload,gate_only,2,23554,23554,1.0,0.8766562453476254,0.8924743188923626,21.043840920443902,3.639656470132528,24.68349739057643,58.34751569969411,40.7040883729998,15.30661231884058,2.5729166666666665,9.25666666666666,0.9854846014492754,0.9431616611472726,0.1858919928674535,0.5354049507984615,23.972826086956523,8.0,0,-0.01965382455309946,0,0,0,23,511,-0.0018115942028985507,-0.1,0.3541666666666667,0.0,30795,26868,23979
