weight_set,scenario,policy,mean_composite_cost,mean_total_wait,p95_total_wait,throughput_rate,acceptance_rate,accepted,requested,rejected_requests
W0_current,sc_high_workload,fixed,3.460814934033445,290.02710806692556,433.4660503624314,0.9004278597654557,0.9163237425600644,24721.25,26979.083333333332,2257.833333333332
W0_current,sc_high_workload,online_joint,0.46786308599456666,20.87859962179326,52.484427342308756,0.8710885060691522,0.8858026826413309,23897.166666666668,26979.083333333332,3081.9166666666642
W0_current,sc_high_workload,pto,0.3099528398221586,5.071748358925615,15.097842481549812,0.8141456693257032,0.8266876339698124,22302.916666666668,26979.083333333332,4676.166666666664
W0_current,sc_peak_workload,fixed,4.2652856830154535,363.43738141495083,532.5770319459517,0.8971910384267966,0.913335848438268,24794.0,27147.333333333332,2353.333333333332
W0_current,sc_peak_workload,online_joint,0.4955490413025325,22.398706627901106,53.44680438041109,0.8665509890869587,0.8814475542685106,23925.833333333332,27147.333333333332,3221.5
W0_current,sc_peak_workload,pto,0.31759289332284607,5.353890297238043,15.064694103989744,0.8150766577414376,0.8277940682705487,22472.75,27147.333333333332,4674.583333333332
W1_medium_unserved,sc_high_workload,fixed,3.0887335030586534,290.02710806692556,433.4660503624314,0.9004278597654557,0.9163237425600644,24721.25,26979.083333333332,2257.833333333332
W1_medium_unserved,sc_high_workload,online_joint,0.6079197832013804,29.627068036097313,65.15463463226342,0.8763074384254899,0.8912229720970765,24042.916666666668,26979.083333333332,2936.1666666666642
W1_medium_unserved,sc_high_workload,pto,0.3630773617333353,5.071748358925615,15.097842481549812,0.8141456693257032,0.8266876339698124,22302.916666666668,26979.083333333332,4676.166666666664
W1_medium_unserved,sc_peak_workload,fixed,3.762473907115929,363.43738141495083,532.5770319459517,0.8971910384267966,0.913335848438268,24794.0,27147.333333333332,2353.333333333332
W1_medium_unserved,sc_peak_workload,online_joint,0.6121975573150503,27.746265821687604,61.377703735111105,0.8711765255360185,0.8862295565313016,24055.5,27147.333333333332,3091.833333333332
W1_medium_unserved,sc_peak_workload,pto,0.3680059224174211,5.353890297238043,15.064694103989744,0.8150766577414376,0.8277940682705487,22472.75,27147.333333333332,4674.583333333332
W2_high_unserved,sc_high_workload,fixed,2.716652072083861,290.02710806692556,433.4660503624314,0.9004278597654557,0.9163237425600644,24721.25,26979.083333333332,2257.833333333332
W2_high_unserved,sc_high_workload,online_joint,0.6198476179587247,27.88394798041308,62.340056362299656,0.8713010989002483,0.8860655242589678,23903.583333333332,26979.083333333332,3075.5
W2_high_unserved,sc_high_workload,pto,0.416201883644512,5.071748358925615,15.097842481549812,0.8141456693257032,0.8266876339698124,22302.916666666668,26979.083333333332,4676.166666666664
W2_high_unserved,sc_peak_workload,fixed,3.259662131216404,363.43738141495083,532.5770319459517,0.8971910384267966,0.913335848438268,24794.0,27147.333333333332,2353.333333333332
W2_high_unserved,sc_peak_workload,online_joint,0.6882958475985892,30.2033087642267,64.43090822722404,0.8737190774541421,0.8888881289363986,24128.166666666668,27147.333333333332,3019.1666666666642
W2_high_unserved,sc_peak_workload,pto,0.4184189515119962,5.353890297238043,15.064694103989744,0.8150766577414376,0.8277940682705487,22472.75,27147.333333333332,4674.583333333332
