weight_set,scenario,policy,replication,arrivals,completed,completion_rate,throughput_rate,acceptance_rate,mean_gate_wait,mean_yard_wait,mean_total_wait,p95_total_wait,mean_turnaround,mean_gate_queue,mean_yard_queue,p95_yard_queue,gate_utilization,yard_utilization,yard_resource_hours_per_truck,mean_composite_cost,mean_quota,mean_yard_capacity,unstable,queue_tail_slope,terminal_system,uncompleted_at_drain_limit,drain_truncated,drain_minutes,first_queue_threshold_period,mean_net_queue_drift,tail_net_queue_drift,service_floor_binding_rate,projection_binding_rate,total_generated_arrivals,requested,accepted
W1_medium_unserved,sc_peak_workload,gate_only,7,23755,23755,1.0,0.8835453395819386,0.8987949118500335,21.092138761452276,3.5477389088661733,24.639877670318445,54.9090784696642,40.623249592019135,15.479106280193237,2.536443236714976,8.823333333333327,0.990330615942029,0.9486280777866576,0.18436118711850136,0.5122134165753917,24.14855072463768,8.0,1,0.03139377410126799,0,0,0,31,460,-0.005434782608695652,-0.04090909090909091,0.3179347826086957,0.0009057971014492754,31059,26886,24165
W1_medium_unserved,sc_peak_workload,pto,7,21784,21784,1.0,0.810235810458975,0.8225098564308562,3.753293741460524,0.17437947280716276,3.9276732142676862,10.933664549000413,19.902976188927987,2.735265700483092,0.041243961352657,0.23333333333333334,0.9371603260869565,0.6942402966475183,0.2517214469335292,0.36551563179129937,21.0,10.0,0,0.009819549239371958,0,0,0,24,-1,0.0009057971014492754,0.00909090909090909,0.5905797101449275,1.0,28282,26886,22114
W1_medium_unserved,sc_peak_workload,online_joint,7,23991,23991,1.0,0.8923231421557688,0.9079818492895931,35.35447191900622,0.12008475311335734,35.47455667211958,74.8985671747987,51.45067271563591,25.972584541062798,0.08266908212560387,0.43333333333333335,0.9966410024154589,0.7660272220699735,0.22814805552082032,0.7234482676153526,24.659420289855074,9.981884057971014,1,0.0939654087518712,0,0,0,50,365,-0.004528985507246377,-0.01818181818181818,0.2572463768115942,0.9818840579710145,31330,26886,24412
W1_medium_unserved,sc_peak_workload,fixed,8,24432,24432,1.0,0.8912884867941048,0.9079600175105793,341.44796442610027,4.561313032089063,346.00927745818933,600.4193518662851,362.0188141314048,249.0824879227053,3.3802838164251208,10.394999999999998,1.0,0.965480805777271,0.17947773411918794,3.612143663514876,25.0,8.0,1,0.16442099667723908,0,0,0,591,336,0.2572463768115942,0.06818181818181818,0.16304347826086957,0.0,31906,27412,24889
W1_medium_unserved,sc_peak_workload,gate_only,8,23733,23733,1.0,0.8657887056763461,0.8816941485480811,21.630901706708183,3.613623806923423,25.244525513631604,55.34359844444843,41.24890759764964,15.846316425120772,2.5769927536231885,9.361666666666665,0.988768115942029,0.9486583048270619,0.18476383095268192,0.5473364204617179,23.67753623188406,8.0,0,-0.030640659367492662,0,0,0,29,700,-0.0009057971014492754,-0.00909090909090909,0.43568840579710144,0.0009057971014492754,31001,27412,24169
W1_medium_unserved,sc_peak_workload,pto,8,22672,22672,1.0,0.8270830293302204,0.8412738946446812,5.847456447699552,0.156351750750682,6.003808198450235,14.93203390744566,22.026832192804502,4.304679951690821,0.0616243961352657,0.3333333333333333,0.9608393719806764,0.7252565737535678,0.24210479887085393,0.3663898199758468,22.0,10.0,0,-0.006139589660943434,0,0,0,29,-1,-0.004528985507246377,0.01818181818181818,0.5018115942028986,1.0,29124,27412,23061
W1_medium_unserved,sc_peak_workload,online_joint,8,22341,22341,1.0,0.815008025682183,0.8285787246461404,12.568817944489066,0.24895504254650208,12.817772987035568,40.58834943194233,28.826411812513392,8.770199275362318,0.11847826086956523,0.5333333333333333,0.9488753019323671,0.7534198717948718,0.23275591960968622,0.47561477636126975,21.594202898550726,9.476449275362318,0,-0.0103161410171886,0,0,0,24,893,-0.0009057971014492754,-0.004545454545454545,0.9963768115942029,0.47644927536231885,29237,27412,22713
W1_medium_unserved,sc_peak_workload,fixed,9,24412,24412,1.0,0.8966099827377236,0.9124031292467036,445.7472432112953,5.122931345240046,450.8701745565354,668.3162112201168,466.8943429982853,324.30679347826083,3.778442028985507,12.954999999999973,1.0,0.9612709284627093,0.17941995739800098,4.55332075453773,25.0,8.0,1,0.3576210440110502,0,0,0,686,336,0.33605072463768115,0.23636363636363636,0.1331521739130435,0.0,31819,27227,24842
W1_medium_unserved,sc_peak_workload,gate_only,9,23786,23786,1.0,0.8736180996804642,0.8886399529878429,23.924655064373386,3.856950651055188,27.781605715428576,58.18048717657666,43.79997786711444,17.535899758454104,2.7619867149758455,8.989999999999993,0.9941198671497584,0.9512937595129376,0.1841419322290423,0.5753408096825289,23.830615942028984,8.0,0,-0.03888737370606848,0,0,0,20,368,-0.008152173913043478,-0.09090909090909091,0.35688405797101447,0.0018115942028985507,30977,27227,24195
W1_medium_unserved,sc_peak_workload,pto,9,21892,21892,1.0,0.8040547985455614,0.8164322180188783,4.040655470921476,0.3921127928339686,4.432768263755445,11.729317419261951,20.457252093464927,2.9424516908212563,0.19181763285024153,0.8283333333333304,0.9428970410628019,0.7780278453636118,0.22528777635665997,0.36289438997779677,21.0,9.0,0,-0.0034159045359690235,0,0,0,18,-1,-0.006340579710144928,-0.00909090909090909,0.6322463768115942,0.0,28309,27227,22229
W1_medium_unserved,sc_peak_workload,online_joint,9,23906,23906,1.0,0.8780254894039006,0.8933044404451463,32.32803328737084,0.4703080452391286,32.79834133260997,66.62694602291594,48.81971671954212,23.69166666666667,0.33472222222222225,1.4,0.9970410628019324,0.8455245978868026,0.20718648038149418,0.6866819665867402,24.110507246376812,9.03804347826087,0,-0.05332715364141657,0,0,0,31,409,-0.004528985507246377,-0.1,0.328804347826087,0.06068840579710145,31116,27227,24322
W1_medium_unserved,sc_peak_workload,fixed,10,24248,24248,1.0,0.8969777679132912,0.9136610809011209,254.98802249451862,4.726080501484659,259.71410299600325,349.3473442239952,275.7428063942217,185.87207125603865,3.459722222222222,11.266666666666667,1.0,0.9607563664006081,0.18083965687891784,2.81780954266773,25.0,8.0,1,0.3196665971686103,0,0,0,357,341,0.19202898550724637,0.16818181818181818,0.12409420289855072,0.0,31626,27033,24699
