scenario,fidelity_level,fidelity_label,quota,yard_capacity,model_mean_composite_cost,model_samples,selected
public_peak_workload,high_fidelity,高保真模型,26,9,9.95996404681463,4,False
public_peak_workload,high_fidelity,高保真模型,26,10,9.975409585763902,4,False
public_peak_workload,high_fidelity,高保真模型,27,6,77.57811503823336,4,False
public_peak_workload,high_fidelity,高保真模型,27,7,41.49631250200148,4,False
public_peak_workload,high_fidelity,高保真模型,27,8,14.480880097110175,4,False
public_peak_workload,high_fidelity,高保真模型,27,9,14.448668933160901,4,False
public_peak_workload,high_fidelity,高保真模型,27,10,14.464038498378292,4,False
public_peak_workload,high_fidelity,高保真模型,28,6,81.45657043199374,4,False
public_peak_workload,high_fidelity,高保真模型,28,7,45.300622288877804,4,False
public_peak_workload,high_fidelity,高保真模型,28,8,18.39008503797201,4,False
public_peak_workload,high_fidelity,高保真模型,28,9,18.35733107510969,4,False
public_peak_workload,high_fidelity,高保真模型,28,10,18.372654557899548,4,False
public_peak_workload,high_fidelity,高保真模型,29,6,84.55603147081106,4,False
public_peak_workload,high_fidelity,高保真模型,29,7,48.42069972262267,4,False
public_peak_workload,high_fidelity,高保真模型,29,8,21.561998182767596,4,False
public_peak_workload,high_fidelity,高保真模型,29,9,21.530857670992233,4,False
public_peak_workload,high_fidelity,高保真模型,29,10,21.54621432860093,4,False
public_peak_workload,high_fidelity,高保真模型,30,6,87.08772778652119,4,False
public_peak_workload,high_fidelity,高保真模型,30,7,50.931087274745835,4,False
public_peak_workload,high_fidelity,高保真模型,30,8,24.08760901387627,4,False
public_peak_workload,high_fidelity,高保真模型,30,9,24.055620676013955,4,False
public_peak_workload,high_fidelity,高保真模型,30,10,24.070806590869026,4,False
public_peak_workload,mild_misspecification,轻度失真,12,6,0.35358659933335584,4,False
public_peak_workload,mild_misspecification,轻度失真,12,7,0.371165743355095,4,False
public_peak_workload,mild_misspecification,轻度失真,12,8,0.3907734199855298,4,False
public_peak_workload,mild_misspecification,轻度失真,12,9,0.41067740549277615,4,False
public_peak_workload,mild_misspecification,轻度失真,12,10,0.43065691183335586,4,False
public_peak_workload,mild_misspecification,轻度失真,13,6,0.3337057290634302,4,False
public_peak_workload,mild_misspecification,轻度失真,13,7,0.3505546873967635,4,False
public_peak_workload,mild_misspecification,轻度失真,13,8,0.36993478250545914,4,False
