scenario,policy,replication,arrivals,completed,completion_rate,throughput_rate,acceptance_rate,mean_gate_wait,mean_yard_wait,mean_total_wait,p95_total_wait,mean_turnaround,mean_gate_queue,mean_yard_queue,p95_yard_queue,gate_utilization,yard_utilization,yard_resource_hours_per_truck,mean_composite_cost,mean_quota,mean_yard_capacity,unstable,queue_tail_slope,terminal_system,uncompleted_at_drain_limit,drain_truncated,drain_minutes,first_queue_threshold_period,mean_net_queue_drift,tail_net_queue_drift,service_floor_binding_rate,projection_binding_rate,total_generated_arrivals,requested,accepted,fidelity_level,fidelity_label,fidelity_description,pto_request_multiplier,pto_show_multiplier,pto_gate_service_multiplier,pto_yard_service_multiplier,oracle_pto_quota,oracle_pto_yard_capacity
public_peak_workload,pto,0,21079,21079,1.0,0.7761903008432448,0.7878999889531244,2.925751889532458,0.9559155650439761,3.881667454576434,11.241457982390056,19.89566242587488,2.09969806763285,0.5177234299516907,2.02833333333333,0.9194972826086957,0.84130476081918,0.20809810712083116,0.28747717390423677,20.0,8.0,0,0.0017166770913749087,0,0,0,26,-1,0.0018115942028985507,0.0,0.7518115942028986,0.0,27475,27157,21397,high_fidelity,高保真模型,PTO 使用无偏的需求、履约和服务时间估计。,1.0,1.0,1.0,1.0,20,8
public_peak_workload,online_joint,0,23638,23638,1.0,0.8704201495010494,0.8857016607136282,18.47286992604327,0.7294958015185284,19.202365727561798,46.71420399776722,35.22127595685361,13.530555555555555,0.5078502415458938,1.9666666666666666,0.9894852053140096,0.8653769737530064,0.20228022675353244,0.4539519012253182,23.6268115942029,8.715579710144928,0,0.007729780292229824,0,0,0,30,411,0.0036231884057971015,-0.045454545454545456,0.4166666666666667,0.0,30716,27157,24053,high_fidelity,高保真模型,PTO 使用无偏的需求、履约和服务时间估计。,1.0,1.0,1.0,1.0,20,8
public_peak_workload,pto,0,23290,23290,1.0,0.857605773833634,0.8724454100231984,11.658374914643167,2.755565801147232,14.413940715790398,34.52030963999368,30.43811418079684,8.529106280193238,1.913647342995169,7.256666666666661,0.9805631038647343,0.9299137505224363,0.18834263632460282,0.37192245511174316,23.0,8.0,1,0.05553508806530563,0,0,0,29,-1,0.0018115942028985507,-0.031818181818181815,0.35778985507246375,0.0,30329,27157,23693,mild_misspecification,轻度失真,PTO 轻度低估服务时间和实际到港压力。,1.0,0.95,0.9,0.88,23,8
public_peak_workload,online_joint,0,23638,23638,1.0,0.8704201495010494,0.8857016607136282,18.47286992604327,0.7294958015185284,19.202365727561798,46.71420399776722,35.22127595685361,13.530555555555555,0.5078502415458938,1.9666666666666666,0.9894852053140096,0.8653769737530064,0.20228022675353244,0.4539519012253182,23.6268115942029,8.715579710144928,0,0.007729780292229824,0,0,0,30,411,0.0036231884057971015,-0.045454545454545456,0.4166666666666667,0.0,30716,27157,24053,mild_misspecification,轻度失真,PTO 轻度低估服务时间和实际到港压力。,1.0,0.95,0.9,0.88,23,8
public_peak_workload,pto,0,25466,23574,0.9257048613838058,0.8680634827116397,0.955554737268476,1458.2143042666585,2516.3485619750572,3974.5628662417157,5848.870271215278,3990.593705301697,1111.4428140096618,1694.4973128019324,2658.3416666666667,1.0,1.0015690876689702,0.16265801306524136,42.34380236611048,28.0,7.0,1,3.5583824797281456,1902,1902,1,2880,336,3.2644927536231885,3.518181818181818,0.007246376811594203,0.0,33130,27157,25950,medium_misspecification,中度失真,PTO 中度低估闸口与堆场服务时间，因而高估系统处理能力。,1.0,0.92,0.75,0.7,28,7
public_peak_workload,online_joint,0,23638,23638,1.0,0.8704201495010494,0.8857016607136282,18.47286992604327,0.7294958015185284,19.202365727561798,46.71420399776722,35.22127595685361,13.530555555555555,0.5078502415458938,1.9666666666666666,0.9894852053140096,0.8653769737530064,0.20228022675353244,0.4539519012253182,23.6268115942029,8.715579710144928,0,0.007729780292229824,0,0,0,30,411,0.0036231884057971015,-0.045454545454545456,0.4166666666666667,0.0,30716,27157,24053,medium_misspecification,中度失真,PTO 中度低估闸口与堆场服务时间，因而高估系统处理能力。,1.0,0.92,0.75,0.7,28,7
public_peak_workload,pto,0,25926,19555,0.7542621306796267,0.7200721729204257,0.9731192694332953,1701.9048032919409,6392.426745077985,8094.331548369926,11476.974879727346,8110.358395723544,1470.9464070048311,4083.5927838164253,6379.8933333333325,1.0,1.0,0.1693684479672718,83.54724076533363,30.0,6.0,1,6.523680504292868,6381,6381,1,2880,336,6.399456521739131,6.5227272727272725,0.0,1.0,33715,27157,26427,severe_misspecification,严重失真,PTO 严重低估服务时间并高估闸口—堆场处理能力。,1.0,0.9,0.58,0.52,30,6
public_peak_workload,online_joint,0,23638,23638,1.0,0.8704201495010494,0.8857016607136282,18.47286992604327,0.7294958015185284,19.202365727561798,46.71420399776722,35.22127595685361,13.530555555555555,0.5078502415458938,1.9666666666666666,0.9894852053140096,0.8653769737530064,0.20228022675353244,0.4539519012253182,23.6268115942029,8.715579710144928,0,0.007729780292229824,0,0,0,30,411,0.0036231884057971015,-0.045454545454545456,0.4166666666666667,0.0,30716,27157,24053,severe_misspecification,严重失真,PTO 严重低估服务时间并高估闸口—堆场处理能力。,1.0,0.9,0.58,0.52,30,6
public_peak_workload,pto,1,21035,21035,1.0,0.7731750349187679,0.7860766007498345,2.72768904193239,1.141925367482799,3.8696144094151887,10.793481290856286,19.891625343572542,1.9693840579710147,0.633786231884058,2.7283333333333304,0.9163798309178744,0.84215932435517,0.2082719277394818,0.2885036938445881,20.0,8.0,0,-1.5721587035056884e-05,0,0,0,30,-1,-0.0009057971014492754,0.01818181818181818,0.7382246376811594,0.0,27466,27206,21386,high_fidelity,高保真模型,PTO 使用无偏的需求、履约和服务时间估计。,1.0,1.0,1.0,1.0,20,8
public_peak_workload,online_joint,1,23522,23522,1.0,0.8645886936705138,0.8819378078365067,16.31859378518779,4.1873849485021895,20.505978733689982,48.168717710188325,36.51805253693801,11.928683574879226,2.955193236714976,8.394999999999998,0.9853562801932367,0.9716648984242996,0.18032055097355668,0.4469556996680803,23.466485507246375,7.747282608695652,0,-0.06793716624498267,0,0,0,31,554,-0.0018115942028985507,-0.04090909090909091,0.4692028985507246,0.0009057971014492754,30651,27206,23994,high_fidelity,高保真模型,PTO 使用无偏的需求、履约和服务时间估计。,1.0,1.0,1.0,1.0,20,8
public_peak_workload,pto,1,23246,23246,1.0,0.8544438726751452,0.8710210982871426,11.286815119922492,3.3323145670533636,14.619129686975857,34.38408753485601,30.628034444783648,8.249728260869565,2.312107487922705,8.9,0.9771663647342995,0.9297040249562505,0.1884625311881614,0.3743123427476456,23.0,8.0,0,-0.00808095208578696,0,0,0,31,594,-0.0018115942028985507,-0.04090909090909091,0.3759057971014493,0.0,30317,27206,23697,mild_misspecification,轻度失真,PTO 轻度低估服务时间和实际到港压力。,1.0,0.95,0.9,0.88,23,8
public_peak_workload,online_joint,1,23522,23522,1.0,0.8645886936705138,0.8819378078365067,16.31859378518779,4.1873849485021895,20.505978733689982,48.168717710188325,36.51805253693801,11.928683574879226,2.955193236714976,8.394999999999998,0.9853562801932367,0.9716648984242996,0.18032055097355668,0.4469556996680803,23.466485507246375,7.747282608695652,0,-0.06793716624498267,0,0,0,31,554,-0.0018115942028985507,-0.04090909090909091,0.4692028985507246,0.0009057971014492754,30651,27206,23994,mild_misspecification,轻度失真,PTO 轻度低估服务时间和实际到港压力。,1.0,0.95,0.9,0.88,23,8
public_peak_workload,pto,1,25501,23550,0.9234931963452414,0.8656178784091745,0.9581709916930089,1601.8717620860998,2601.9141825902334,4203.785944676333,5985.315564672092,4219.789299241089,1220.2829710144927,1755.5485809178745,2763.6566666666668,1.0,1.0018412118046487,0.16259023354564756,44.891333756363395,28.0,7.0,1,3.2530649957080096,1961,1961,1,2880,336,3.243659420289855,3.0272727272727273,0.008152173913043478,0.0,33247,27206,26068,medium_misspecification,中度失真,PTO 中度低估闸口与堆场服务时间，因而高估系统处理能力。,1.0,0.92,0.75,0.7,28,7
public_peak_workload,online_joint,1,23522,23522,1.0,0.8645886936705138,0.8819378078365067,16.31859378518779,4.1873849485021895,20.505978733689982,48.168717710188325,36.51805253693801,11.928683574879226,2.955193236714976,8.394999999999998,0.9853562801932367,0.9716648984242996,0.18032055097355668,0.4469556996680803,23.466485507246375,7.747282608695652,0,-0.06793716624498267,0,0,0,31,554,-0.0018115942028985507,-0.04090909090909091,0.4692028985507246,0.0009057971014492754,30651,27206,23994,medium_misspecification,中度失真,PTO 中度低估闸口与堆场服务时间，因而高估系统处理能力。,1.0,0.92,0.75,0.7,28,7
public_peak_workload,pto,1,25975,19502,0.7507988450433108,0.7168271704771007,0.9762184812173785,1903.9690613340572,6498.802635627115,8402.771696961174,11641.270680782221,8418.777081024346,1611.4232487922704,4154.503804347826,6485.458333333332,1.0,1.0,0.16982873551430622,86.71714131250435,30.0,6.0,1,6.197367432460069,6483,6483,1,2880,336,6.415760869565218,6.172727272727273,0.0009057971014492754,1.0,33875,27206,26559,severe_misspecification,严重失真,PTO 严重低估服务时间并高估闸口—堆场处理能力。,1.0,0.9,0.58,0.52,30,6
