scenario,design,tested_min,tested_max,cost_min,cost_max,mean_queue_min,mean_queue_max,terminal_yard_min,terminal_yard_max,max_abs_drift,status
high,gain_multiplier,0.5,1.5,0.22397605211318036,0.22616038182332537,6.077597373188405,6.497903079710145,2.6675,3.3325,0.00013532502311207944,independent_reconstruction_v2
high,lateness_support,1.0,4.0,0.22397605211318036,0.22498019047368764,6.215996376811595,6.283729619565218,2.585,3.1075,0.00015625596790784684,independent_reconstruction_v2
peak,gain_multiplier,0.5,1.5,0.22455418703445149,0.2267385167445964,6.077597373188405,6.497903079710145,2.6675,3.3325,0.00013532502311207944,independent_reconstruction_v2
peak,lateness_support,1.0,4.0,0.22455418703445149,0.22555832539495874,6.215996376811595,6.283729619565218,2.585,3.1075,0.00015625596790784684,independent_reconstruction_v2
