seed_block,seed,scenario,design,design_value,path,weighted_cost,mean_queue,terminal_yard_backlog,late_horizon_drift
0,52000,high,gain_multiplier,0.5,0,0.2146832305552089,5.886775362318841,15.0,0.0024129879035933314
0,52000,high,gain_multiplier,0.5,1,0.22462661823636904,6.394927536231884,8.0,0.001874031571317584
0,52000,high,gain_multiplier,0.5,2,0.224893828381296,6.411231884057971,4.0,0.004361130039626908
0,52000,high,gain_multiplier,0.5,3,0.2471673791059339,7.915760869565218,11.0,0.001066410878519438
0,52000,high,gain_multiplier,0.5,4,0.22873214359868765,6.6875,11.0,-0.0011669972525922422
0,52000,high,gain_multiplier,0.5,5,0.228376618236369,6.667572463768116,0.0,-0.0013523821717976207
0,52000,high,gain_multiplier,0.5,6,0.2489812378015868,7.934782608695652,0.0,0.0048880420487936145
0,52000,high,gain_multiplier,0.5,7,0.21971493345376,6.178442028985507,6.0,0.004154097891049874
0,52000,high,gain_multiplier,0.5,8,0.23821357475810828,7.278079710144928,0.0,-0.0003614382006866349
0,52000,high,gain_multiplier,0.5,9,0.216608049395789,5.990942028985507,0.0,0.0018210256988962625
0,52000,high,gain_multiplier,0.5,10,0.2144114914247742,5.791666666666667,6.0,0.0026657559277601032
0,52000,high,gain_multiplier,0.5,11,0.21937299504796284,6.068840579710145,0.0,-0.004331616022638987
0,52000,high,gain_multiplier,0.5,12,0.22310035012042692,6.327898550724638,1.0,-0.004581617107713141
0,52000,high,gain_multiplier,0.5,13,0.2162276146131804,6.006340579710145,0.0,-0.002229176341911206
0,52000,high,gain_multiplier,0.5,14,0.23061393707694844,6.733695652173913,5.0,0.002105423634651192
0,52000,high,gain_multiplier,0.5,15,0.2300614008450645,6.811594202898551,0.0,0.0010177453027139876
0,52000,high,gain_multiplier,0.5,16,0.22618911823636884,6.567028985507246,18.0,1.3780441755389562e-05
0,52000,high,gain_multiplier,0.5,17,0.22655823055520916,6.565217391304348,14.0,0.004060944274931749
0,52000,high,gain_multiplier,0.5,18,0.23164881026535458,6.943840579710145,7.0,6.580974743813992e-05
0,52000,high,gain_multiplier,0.5,19,0.22529464359868742,6.5896739130434785,0.0,0.00308622216242258
0,52000,high,gain_multiplier,0.5,20,0.21491647330883293,5.866847826086956,3.0,0.00016889179206506973
0,52000,high,gain_multiplier,0.5,21,0.22860080301897776,6.82518115942029,0.0,-0.00296501937942439
0,52000,high,gain_multiplier,0.5,22,0.2268979044682529,6.655797101449275,12.0,9.792794239558331e-05
0,52000,high,gain_multiplier,0.5,23,0.21861438997549903,6.15036231884058,6.0,-0.0004110803432306564
0,52000,high,gain_multiplier,0.5,24,0.22529464359868742,6.494565217391305,5.0,0.0025706491781648357
0,52000,high,gain_multiplier,0.5,25,0.23398350229433984,7.030797101449275,7.0,-0.006907310795619773
0,52000,high,gain_multiplier,0.5,26,0.2302969080914411,6.733695652173913,17.0,0.006571371837551378
0,52000,high,gain_multiplier,0.5,27,0.2244703682363685,6.355072463768116,1.0,0.0010156836618214489
0,52000,high,gain_multiplier,0.5,28,0.2337434660624562,7.066123188405797,1.0,-0.0018153833132956306
0,52000,high,gain_multiplier,0.5,29,0.23688431751173145,7.194746376811594,9.0,-0.0009609959244614777
0,52000,high,gain_multiplier,0.5,30,0.22906275954071634,6.711050724637682,9.0,0.0003502076831930694
0,52000,high,gain_multiplier,0.5,31,0.245978520410282,7.802536231884058,0.0,-0.007269508548214185
0,52000,high,gain_multiplier,0.5,32,0.21860306751173086,6.136775362318841,0.0,-0.002149206376763788
0,52000,high,gain_multiplier,0.5,33,0.22533087548274577,6.5226449275362315,0.0,-0.0025748809673653097
0,52000,high,gain_multiplier,0.5,34,0.2163929225841946,5.9773550724637685,0.0,-0.00018077335405101584
0,52000,high,gain_multiplier,0.5,35,0.2173258935986875,6.056159420289855,0.0,0.0007826639872568892
0,52000,high,gain_multiplier,0.5,36,0.22161257838129614,6.280797101449275,0.0,-0.0008030091276437832
0,52000,high,gain_multiplier,0.5,37,0.21680053127984708,5.954710144927536,0.0,-0.0004810676261615719
0,52000,high,gain_multiplier,0.5,38,0.22689790446825295,6.605978260869565,8.0,-0.0014154792338508413
0,52000,high,gain_multiplier,0.5,39,0.22107815809144105,6.252717391304348,0.0,0.0007406716174983398
0,52000,high,gain_multiplier,0.5,40,0.21622761461318007,5.9519927536231885,0.0,0.0016149701170577997
0,52000,high,gain_multiplier,0.5,41,0.222269281279847,6.307971014492754,7.0,0.00221159814061693
0,52000,high,gain_multiplier,0.5,42,0.23543504214941252,7.199275362318841,1.0,-0.0017492480436113005
0,52000,high,gain_multiplier,0.5,43,0.2098372160624559,5.574275362318841,0.0,0.0030333247974166553
0,52000,high,gain_multiplier,0.5,44,0.21940469794651402,6.108695652173913,0.0,0.0007996996514741817
0,52000,high,gain_multiplier,0.5,45,0.22173486098999193,6.257246376811594,0.0,0.004124963650015842
0,52000,high,gain_multiplier,0.5,46,0.2265899334537604,6.5643115942028984,0.0,0.004143681179171785
0,52000,high,gain_multiplier,0.5,47,0.22083812185955687,6.1521739130434785,7.0,0.0043340031857777165
0,52000,high,gain_multiplier,0.5,48,0.22991420881607905,6.711956521739131,0.0,0.0010297353721153305
0,52000,high,gain_multiplier,0.5,49,0.23011348417839786,6.832427536231884,0.0,-0.0015882772928701948
0,52000,high,gain_multiplier,0.5,50,0.20550524142477425,5.259057971014493,0.0,-0.0014878536799204857
0,52000,high,gain_multiplier,0.5,51,0.2346560566421657,7.046195652173913,6.0,0.0007932434602580741
0,52000,high,gain_multiplier,0.5,52,0.23071131026535438,6.7771739130434785,13.0,-0.0036114523066506365
0,52000,high,gain_multiplier,0.5,53,0.2290084117146298,6.680253623188406,0.0,0.0007536382536382537
0,52000,high,gain_multiplier,0.5,54,0.23997308562767308,7.447463768115942,2.0,0.008637298772998146
0,52000,high,gain_multiplier,0.5,55,0.22011121968564432,6.255434782608695,19.0,0.00291364111823402
0,52000,high,gain_multiplier,0.5,56,0.2225953682363687,6.261775362318841,0.0,-0.0027139874739039666
0,52000,high,gain_multiplier,0.5,57,0.22025841171462976,6.056159420289855,5.0,0.0002178828901167106
0,52000,high,gain_multiplier,0.5,58,0.21688205301897714,5.9601449275362315,0.0,0.0009653904747850468
0,52000,high,gain_multiplier,0.5,59,0.20641103852622367,5.331521739130435,17.0,0.00030604516512658473
0,52000,high,gain_multiplier,0.5,60,0.20961529577260024,5.5851449275362315,2.0,-0.0015115082964769812
0,52000,high,gain_multiplier,0.5,61,0.21116194432332538,5.624094202898551,1.0,-0.003945166862703397
0,52000,high,gain_multiplier,0.5,62,0.22115515084506426,6.215579710144928,0.0,0.001788039444615645
0,52000,high,gain_multiplier,0.5,63,0.23422127403347015,7.01268115942029,1.0,0.001278705636743215
0,52000,high,gain_multiplier,0.5,64,0.22505913635231056,6.54981884057971,7.0,-0.0009141207210100738
0,52000,high,gain_multiplier,0.5,65,0.21632045881607848,6.070652173913044,0.0,-0.001953133477141828
0,52000,high,gain_multiplier,0.5,66,0.20841058562767276,5.524456521739131,0.0,-0.0005577281151393886
0,52000,high,gain_multiplier,0.5,67,0.22473078490303539,6.468297101449275,19.0,-0.0011738332197622386
0,52000,high,gain_multiplier,0.5,68,0.2245745349030355,6.419384057971015,0.0,1.123051749356551e-05
0,52000,high,gain_multiplier,0.5,69,0.23578830301897732,7.254528985507246,2.0,-0.0002960624829100821
0,52000,high,gain_multiplier,0.5,70,0.22322942620738306,6.393115942028985,0.0,0.004526224072153091
0,52000,high,gain_multiplier,0.5,71,0.2294296073668035,6.7355072463768115,0.0,-0.0006629803080742538
0,52000,high,gain_multiplier,0.5,72,0.22651746968564396,6.653079710144928,6.0,0.001083772064982921
0,52000,high,gain_multiplier,0.5,73,0.22772670881607904,6.615942028985507,0.0,0.0001781691760814934
0,52000,high,gain_multiplier,0.5,74,0.20557770519289034,5.297101449275362,3.0,-0.0015526326069123565
0,52000,high,gain_multiplier,0.5,75,0.2248825059175282,6.578804347826087,5.0,-0.0031103108086406625
0,52000,high,gain_multiplier,0.5,76,0.22106910012042671,6.203804347826087,0.0,0.0013686040303994376
